Year,fruit_fresh,fruit_processed,veg_fresh,veg_processed,total_fruit,total_veg,total_fruit_veg
1970,100.6,137.4,154.4,181.9,238.0,336.3,574.3
1971,100.8,141.6,148.1,191.5,242.4,339.5,581.9
1972,94.4,137.7,151.4,186.4,232.0,337.8,569.8
1973,96.7,139.3,148.1,187.4,236.0,335.5,571.5
1974,96.1,139.8,146.2,188.1,235.8,334.3,570.1
1975,101.3,151.2,149.1,189.8,252.5,338.9,591.4
1976,101.9,156.2,148.4,200.7,258.1,349.1,607.2
1977,99.6,169.4,148.8,196.7,268.9,345.5,614.5
1978,103.6,156.6,143.9,191.2,260.3,335.1,595.4
1979,99.9,151.3,149.0,192.6,251.2,341.6,592.8
1980,106.4,159.7,151.8,187.0,266.1,338.7,604.8
1981,103.4,158.7,145.5,189.5,262.1,334.9,597.0
1982,108.1,155.8,151.3,186.6,263.8,337.9,601.7
1983,110.7,169.7,151.8,188.5,280.4,340.3,620.7
1984,112.7,154.6,157.2,200.9,267.3,358.1,625.4
1985,110.9,160.0,159.1,201.5,270.9,360.7,631.6
1986,118.8,160.5,159.2,202.2,279.3,361.3,640.7
1987,121.7,155.2,168.7,201.8,276.9,370.5,647.4
1988,121.5,145.8,174.7,195.6,267.3,370.4,637.7
1989,123.1,151.2,181.0,204.9,274.3,386.0,660.3
1990,117.3,153.6,176.4,215.3,271.0,391.8,662.7
1991,113.0,155.8,176.2,225.3,268.8,401.5,670.3
1992,124.3,145.5,179.8,220.2,269.8,399.9,669.7
1993,123.3,160.0,187.7,226.2,283.3,413.9,697.2
1994,125.3,162.6,193.2,225.8,288.0,419.0,707.0
1995,123.4,151.6,188.0,226.2,275.0,414.2,689.2
1996,126.7,159.9,193.1,232.0,286.5,425.1,711.7
1997,130.2,156.4,199.0,225.5,286.7,424.5,711.2
1998,129.4,170.5,195.6,225.8,300.0,421.4,721.3
1999,130.5,154.4,201.4,222.8,284.9,424.2,709.1
2000,128.7,159.4,200.7,224.2,288.1,424.9,713.0
2001,126.0,155.2,198.0,217.1,281.2,415.1,696.4
2002,127.1,148.8,197.3,216.8,275.9,414.1,690.1
2003,128.2,152.0,200.6,221.3,280.2,421.9,702.1
2004,127.8,151.5,204.4,219.6,279.4,424.0,703.4
2005,125.3,145.5,196.4,218.0,270.8,414.4,685.2
2006,127.9,141.7,194.1,209.9,269.6,404.0,673.6
2007,123.2,138.8,194.3,212.3,262.0,406.5,668.6
2008,126.7,130.7,188.3,204.7,257.4,393.1,650.5
2009,124.0,130.4,185.5,206.6,254.3,392.2,646.5
2010,128.6,127.4,190.3,206.5,256.0,396.8,652.8
2011,129.4,125.2,185.8,196.8,254.6,382.6,637.2
2012,131.8,112.8,188.7,202.7,244.6,391.4,636.0
2013,136.3,118.2,184.6,197.5,254.6,382.1,636.6
2014,136.3,113.8,186.4,200.1,250.1,386.5,636.6
2015,136.1,116.6,186.4,192.9,252.7,379.2,631.9
2016,142.3,114.1,199.5,195.8,256.4,395.3,651.7
2017,142.7,109.7,202.6,199.7,252.4,402.3,654.7